file,row_group,original,kept,removed,keep_rate,too_few_tokens,too_many_tokens
004_00018.parquet,0,1000,998,2,99.8,1.0,1.0
004_00018.parquet,1,1000,1000,0,100.0,0.0,0.0
004_00018.parquet,2,1000,998,2,99.8,2.0,0.0
004_00018.parquet,3,1000,1000,0,100.0,0.0,0.0
004_00018.parquet,4,1000,999,1,99.9,1.0,0.0
004_00018.parquet,5,1000,999,1,99.9,1.0,0.0
004_00018.parquet,6,1000,1000,0,100.0,0.0,0.0
004_00018.parquet,7,1000,1000,0,100.0,0.0,0.0
004_00018.parquet,8,1000,1000,0,100.0,0.0,0.0
004_00018.parquet,9,1000,998,2,99.8,2.0,0.0
