id,url,hit_US_ZIP,hit_US_DATE,hit_US_PHONE,hit_NON_AU_INST,hit_NON_AU_GOV,num_rules_hit
<urn:uuid:705f2281-382f-43d8-9ad1-0445e54a2d78>,https://monocounty.ca.gov/social-services/page/calfresh,True,False,True,True,True,4
<urn:uuid:baff0a5c-b327-48f9-b2eb-25d0fcb88fa8>,https://smilesoftulsa.com/p/BLOG-95384-2022.6.20-Risks-of-Missing-Teeth-p.asp?C=1086,True,True,True,False,False,3
<urn:uuid:2d5106be-5c01-4c63-9d74-7ceab43695dd>,https://www.tms.org/Meetings/2016/3DMS2016/workshop.aspx,True,False,True,True,False,3
<urn:uuid:b6fd128e-46ca-4a49-bc87-54a5aec699b7>,https://probation.lacounty.gov/ombudsman/,True,False,True,False,True,3
<urn:uuid:bdebbcd2-9e9e-4a15-90c2-ef6632325e4f>,https://www.parks.ca.gov/?page_id=27264,True,False,True,False,True,3
<urn:uuid:7f4ef72e-ec97-4fb9-a5ff-c89101e8b789>,https://www.irs.gov/irm/part30/irm_30-007-002,False,True,False,True,True,3
<urn:uuid:19bbfa9d-08f8-46dd-8b4c-73dd1b9cb53c>,https://www.laborcommission.utah.gov/divisions/industrial-accidents/employers/employers-guide-to-workers-compensation/,False,False,True,True,True,3
<urn:uuid:33e1153e-7e01-4fdf-825c-e4f547347401>,https://www.waterboards.ca.gov/northcoast/water_issues/programs/basin_plan/,True,False,True,False,True,3
<urn:uuid:9219a9d7-af23-47a2-83bd-d1194e50d7db>,https://www.dol.gov/agencies/owcp/dfec/regs/compliance/camplejeuneguidance,True,False,True,False,True,3
<urn:uuid:d4b05319-2418-4340-8444-898610fdb828>,https://www.ag.state.mn.us/Consumer/Publications/ScholarAid.asp,True,False,True,True,False,3
<urn:uuid:92812c4f-09fa-4e4b-b14e-0588a25dbcd1>,https://www.billsbills.com/blog/5-reasons-you-should-not-be-scared-file-bankruptcy,True,True,True,False,False,3
<urn:uuid:eaa5a297-e2ae-4ce9-bd68-523b3a35c3e5>,https://www.billsbills.com/blog/after-bankruptcy-our-720-credit-score-program-can-help-clients-regain-their-credit,True,True,True,False,False,3
