cluster,doc_count,top_terms
Discovered_00,426,"time, life, people, just, like, ve, day, new"
Discovered_01,760,"use, time, need, high, used, new, water, like"
Discovered_02,465,"president, new, government, people, said, state, years, time"
Discovered_03,593,"time, just, new, city, area, located, day, like"
Discovered_04,466,"law, police, court, state, people, new, year, years"
Discovered_05,536,"new, time, music, just, like, years, movie, film"
Discovered_06,529,"new, use, time, available, high, like, design, using"
Discovered_07,405,"business, data, website, information, digital, use, marketing, like"
Discovered_08,277,"team, game, year, season, new, time, league, players"
Discovered_09,633,"business, company, services, new, work, team, management, time"
Discovered_10,213,"god, church, jesus, time, world, people, life, new"
Discovered_11,398,"health, make, food, like, new, used, help, use"
Discovered_12,646,"style, design, new, perfect, like, collection, make, high"
Discovered_13,459,"school, new, year, children, students, community, state, program"
Discovered_14,270,"money, financial, new, online, casino, time, free, account"
