category,count,percent
Discovered_01,760,7.6
Discovered_12,646,6.460000000000001
Discovered_09,633,6.329999999999999
Discovered_03,593,5.93
Discovered_05,536,5.36
Discovered_06,529,5.29
Discovered_04,466,4.66
Discovered_02,465,4.65
Discovered_13,459,4.590000000000001
Discovered_00,426,4.26
Discovered_07,405,4.05
Discovered_11,398,3.9800000000000004
Games,388,3.88
Discovered_08,277,2.77
Discovered_14,270,2.7
Discovered_10,213,2.13
Books_and_Literature,208,2.08
Jobs_and_Education,173,1.73
Real_Estate,167,1.67
Online_Communities,157,1.5699999999999998
Travel_and_Transportation,153,1.53
Beauty_and_Fitness,143,1.43
Shopping,131,1.31
Home_and_Garden,129,1.29
Food_and_Drink,129,1.29
Business_and_Industrial,121,1.21
Hobbies_and_Leisure,114,1.1400000000000001
Autos_and_Vehicles,114,1.1400000000000001
Pets_and_Animals,111,1.11
Arts_and_Entertainment,88,0.88
News,68,0.6799999999999999
Computers_and_Electronics,65,0.65
Sensitive_Subjects,64,0.64
Internet_and_Telecom,63,0.63
People_and_Society,61,0.61
Health,61,0.61
Finance,58,0.58
Sports,57,0.5700000000000001
Adult,45,0.44999999999999996
Law_and_Government,30,0.3
Science,18,0.18
Reference,8,0.08
