domain,count
plandisney.disney.go.com,51
www.telegraph.co.uk,46
pubmed.ncbi.nlm.nih.gov,43
www.ibtimes.co.uk,43
www.cbsnews.com,41
www.latimes.com,38
www.sciencedaily.com,38
timesofindia.indiatimes.com,37
www.prweb.com,36
publications.parliament.uk,33
www.foxnews.com,32
www.gofundme.com,32
www.techradar.com,31
www.csmonitor.com,29
www.aljazeera.com,28
www.jalopnik.com,27
www.digitaltrends.com,27
forum.trains.com,26
www.themoscowtimes.com,25
www.business-standard.com,25
economictimes.indiatimes.com,24
books.apple.com,24
www.salon.com,24
www.thedailystar.net,24
www.looper.com,24
www.techtimes.com,23
themighty.com,23
www.soompi.com,23
www.deseret.com,23
www.marieclaire.com,23
www.slashgear.com,23
www.dawn.com,22
www.pcgamer.com,22
www.tastingtable.com,22
thedailyguardian.com,22
abcnews.go.com,21
www.entrepreneur.com,21
www.elitedaily.com,21
www.theregister.com,21
www.hellomagazine.com,21
www.smithsonianmag.com,21
www.ibtimes.com,21
www.thedailybeast.com,20
dev.to,20
globalnews.ca,20
thehimalayantimes.com,20
www.chinadaily.com.cn,20
myemail.constantcontact.com,20
www.ojp.gov,20
www.windowscentral.com,20
hansard.parliament.uk,19
hubpages.com,19
us.blastingnews.com,19
www.theodysseyonline.com,19
www.techtarget.com,19
interviewguy.com,19
www.artchive.com,19
www.gov.scot,19
www.longislandpress.com,19
www.mic.com,19
techcommunity.microsoft.com,18
www.consumersearch.com,18
www.instructables.com,18
www.newarab.com,18
www.ucl.ac.uk,18
codes.findlaw.com,18
forward.com,18
prospect.org,18
thepostmillennial.com,18
www.dailykos.com,18
community.verizon.com,17
www.marketplace.org,17
www.siliconera.com,17
community.oracle.com,17
redstate.com,17
www.newindianexpress.com,17
ttlc.intuit.com,17
wildcat.arizona.edu,17
ai.harvardartmuseums.org,17
www.tmz.com,17
community.thriveglobal.com,17
sites.google.com,17
www.inverse.com,17
www.fourfourtwo.com,17
www.newstatesman.com,17
www.3aw.com.au,16
rollcall.com,16
www.edweek.org,16
www.ksl.com,16
www.researchgate.net,16
www.tomsguide.com,16
theworld.org,16
www.flexjobs.com,16
www.justice.gov,16
www.voanews.com,16
time.com,16
www.hurriyetdailynews.com,16
www.foxbusiness.com,16
www.thedailymash.co.uk,16
www.itnews.com.au,16
www.nps.gov,16
www.indiatimes.com,16
www.bustle.com,16
www.mediapost.com,16
www.wsws.org,16
reason.com,16
abc7news.com,16
www.timeslive.co.za,16
www.theroot.com,16
history.state.gov,15
www.breitbart.com,15
www.kentonline.co.uk,15
www.loudersound.com,15
www.ukrinform.net,15
www.baltictimes.com,15
www.helpnetsecurity.com,15
www.newsmax.com,15
www.britannica.com,15
www.universetoday.com,15
play.google.com,15
www.koreaherald.com,15
www.mid-day.com,15
pure.psu.edu,15
www.freepressjournal.in,15
www.brookings.edu,15
www.empireonline.com,15
www.radiotimes.com,15
www.startribune.com,15
whyy.org,15
www.enotes.com,15
www.cambridge.org,15
okmagazine.com,15
jamestown.org,15
www.collegevine.com,15
www.eweek.com,15
www.unhcr.org,14
www.wind-watch.org,14
founders.archives.gov,14
www.tomshardware.com,14
www.dailydot.com,14
www.indiatoday.in,14
cei.org,14
nextshark.com,14
radaronline.com,14
www.geeky-gadgets.com,14
www.honoluluadvertiser.com,14
www.mlbtraderumors.com,14
www.outkick.com,14
www.destructoid.com,14
www.flightglobal.com,14
www.scotsman.com,14
www.livemint.com,14
www.wattpad.com,14
futurism.com,14
qz.com,14
en.trend.az,14
www.ladbible.com,14
thepointsguy.com,14
h30434.www3.hp.com,14
